name,appid_steam_games,genre,tags,positive_rating
Grand Theft Auto V,271590,"Action, Adventure","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable",85.6
Monster Hunter Stories 2: Wings of Ruin,1277400,"Adventure, RPG","RPG, Adventure, JRPG, Exploration, 3D, Cartoony, Dragons, Third Person, Fantasy, Loot, PvE, Character Customization, Emotional, Creature Collector, Turn-Based, PvP, Story Rich, Multiplayer, Hunting, Online Co-Op",82.2
ELDEN RING,1245620,"Action, RPG","Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly",91.6
Monster Hunter: World,582010,Action,"Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG",86
PAYDAY 2,218620,"Action, RPG","Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation",89.6
Spyro Reignited Trilogy,996580,"Action, Adventure","Adventure, 3D Platformer, Remake, Dragons, Action, Family Friendly, Classic, Singleplayer, Cute, Platformer, Colorful, Fantasy, Cult Classic, Great Soundtrack, Casual, Collectathon, Cartoony, Third Person, Atmospheric, Funny",94.8
Yu-Gi-Oh! Legacy of the Duelist,480650,Simulation,"Card Game, Card Battler, Deckbuilding, Anime, Simulation, Trading Card Game, Multiplayer, Strategy, Singleplayer, Fantasy, Action, Casual, Turn-Based",84.6
Road Redemption,300380,"Action, Adventure, Indie, Racing, Simulation","Racing, Action, Motorbike, Indie, Multiplayer, Local Co-Op, Simulation, Adventure, Violent, Arcade, 4 Player Local, Singleplayer, Local Multiplayer, Gore, Third Person, Funny, Rogue-like, Rogue-lite, Sports, Shooter",82
Vampire Survivors,1794680,"Action, Casual, Indie, RPG","Action Roguelike, Bullet Hell, Pixel Graphics, Rogue-lite, 2D, Indie, Vampire, Singleplayer, Casual, Action, Arcade, RPG, Controller, Retro, Action RPG, Score Attack, Rogue-like, Dark Fantasy, Early Access, 1980s",98.8
Fable Anniversary,288470,RPG,"RPG, Open World, Fantasy, Adventure, Classic, Singleplayer, Remake, Action RPG, Atmospheric, Choices Matter, Third Person, Story Rich, Character Customization, Comedy, Action, Great Soundtrack, Medieval, Magic, Sandbox, Funny",84.8
